date,ticker,ret_10d,macro_central,macro_final,confidence,final_close_pos,final_body_ratio
2006-06-20 13:30:00+00:00,MSFT,2.9905214798218784,GRAVESTONE_DOJI,NONE,1.0,0.582,0.37
2006-06-26 13:30:00+00:00,HON,-1.0847320941753034,NONE,NONE,1.0,0.675,0.269
2006-06-29 13:30:00+00:00,AAPL,-12.236950210001403,THREE_BLACK_CROWS,NONE,1.0,0.579,0.359
2006-06-30 13:30:00+00:00,AAPL,-9.086202974407039,NONE,BEARISH_ENGULFING,1.0,0.391,0.445
2006-07-10 13:30:00+00:00,HON,-4.926515938046302,NONE,TWEEZER_TOP,1.1,0.237,0.237
2006-07-10 13:30:00+00:00,QQQ,-2.506295118451918,NONE,BEARISH_ENGULFING,1.1,0.096,0.579
2006-07-12 13:30:00+00:00,AAPL,22.120060035639142,NONE,BEARISH_MARUBOZU,1.1,0.006,0.659
2006-07-12 13:30:00+00:00,QQQ,-0.3892930168865224,TWEEZER_BOTTOM,BEARISH_ENGULFING,1.1,0.039,0.526
2006-07-13 13:30:00+00:00,AAPL,19.966653014924542,TWEEZER_BOTTOM,THREE_BLACK_CROWS,1.1,0.096,0.679
2006-07-14 13:30:00+00:00,AAPL,26.472733724106067,HAMMER,NONE,1.265,0.051,0.904
2006-07-18 13:30:00+00:00,AAPL,26.202244935713097,MORNING_STAR,NONE,1.0,0.302,0.687
2006-07-18 13:30:00+00:00,QQQ,0.845883550095777,MORNING_STAR,NONE,1.1,0.169,0.592
2006-07-19 13:30:00+00:00,QQQ,0.18739034281008587,NONE,DRAGONFLY_DOJI,1.0,0.3,0.282
2006-07-27 13:30:00+00:00,HD,-2.3277724193506817,THREE_BLACK_CROWS,GRAVESTONE_DOJI,1.0,0.411,0.523
2006-07-31 13:30:00+00:00,HON,-2.921820021496609,TWEEZER_TOP,MORNING_STAR,0.6,0.819,0.078
2006-08-10 13:30:00+00:00,HD,-1.0250000303649704,DOJI,BEARISH_ENGULFING,1.1,0.195,0.209
2006-09-05 13:30:00+00:00,COST,5.872316487533732,DRAGONFLY_DOJI,NONE,0.5,0.335,0.636
2006-09-13 13:30:00+00:00,COST,2.36809642257678,NONE,NONE,1.0,0.598,0.402
2007-07-31 13:30:00+00:00,JPM,-1.195691858342479,BEARISH_ENGULFING,NONE,1.375,0.073,0.503
2007-08-01 13:30:00+00:00,JPM,-3.340374574930867,NONE,DOJI,1.1,0.162,0.592
2007-08-09 13:30:00+00:00,JPM,4.774137861062716,BEARISH_ENGULFING,NONE,1.5,0.173,0.827
2007-08-10 13:30:00+00:00,JPM,1.2003083360863536,NONE,NONE,1.0,0.325,0.653
2007-08-14 13:30:00+00:00,JPM,0.7137973250791009,NONE,BEARISH_ENGULFING,1.1,0.167,0.502
2007-08-31 13:30:00+00:00,WMT,-0.5212257726029356,INVERTED_HAMMER,BEARISH_ENGULFING,1.265,0.186,0.803
2007-09-10 13:30:00+00:00,WMT,3.553847975936269,BEARISH_ENGULFING,NONE,1.375,0.081,0.641
2007-09-12 13:30:00+00:00,WMT,0.8618709003015386,NONE,NONE,1.1,0.278,0.484
2007-09-17 13:30:00+00:00,WMT,1.9486287630239307,TWEEZER_BOTTOM,NONE,1.0,0.552,0.202
2007-11-02 13:30:00+00:00,HD,-3.7798868522029427,NONE,BEARISH_ENGULFING,1.265,0.079,0.864
2007-11-06 14:30:00+00:00,HD,-4.240306431019422,NONE,BEARISH_ENGULFING,1.265,0.165,0.809
2007-11-08 14:30:00+00:00,HD,0.580207086829274,NONE,THREE_BLACK_CROWS,1.1,0.233,0.731
2007-11-12 14:30:00+00:00,HD,-3.5387266396646124,NONE,NONE,1.1,0.122,0.71
2007-11-14 14:30:00+00:00,HD,-4.392886254625618,NONE,HANGING_MAN,1.0,0.309,0.505
2007-11-15 14:30:00+00:00,HD,-2.1850811699431523,THREE_BLACK_CROWS,NONE,1.0,0.297,0.498
2007-11-16 14:30:00+00:00,HD,-1.4561585555670722,NONE,NONE,1.0,0.319,0.608
2007-11-23 14:30:00+00:00,HD,1.5181589727701543,THREE_BLACK_CROWS,HANGING_MAN,1.0,0.364,0.608
2007-12-05 14:30:00+00:00,HD,-9.354670443553955,HANGING_MAN,MORNING_STAR,0.6,0.737,0.108
2007-12-20 14:30:00+00:00,HD,-3.9924350428595905,THREE_BLACK_CROWS,NONE,1.1,0.165,0.48
2008-01-09 14:30:00+00:00,HD,19.938375370597818,TWEEZER_TOP,NONE,1.1,0.274,0.403
2008-01-14 14:30:00+00:00,HD,18.1359544369937,NONE,NONE,1.0,0.463,0.277
