ticker,date,trend,layer,pattern,sentiment,entry_price,price_3d,ret_3d,price_5d,ret_5d,price_10d,ret_10d
TSLA,2022-01-19,BAJISTA,MICRO (Daily),EVENING_STAR,BEARISH,334.99,310.0,-7.46,312.47,-6.72,301.89,-9.88
TSLA,2022-01-20,BAJISTA,MICRO (Daily),SHOOTING_STAR,BEARISH,329.98,306.13,-7.23,276.37,-16.25,297.05,-9.98
TSLA,2022-01-20,BAJISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,329.98,306.13,-7.23,276.37,-16.25,297.05,-9.98
TSLA,2022-01-20,BAJISTA,CONJUGATION,M[BEARISH_ENGULFING] + m[SHOOTING_STAR],BEARISH,329.98,306.13,-7.23,276.37,-16.25,297.05,-9.98
TSLA,2022-01-24,BAJISTA,MICRO (Daily),HAMMER,BULLISH,306.34,276.37,-9.78,312.24,1.93,302.45,-1.27
TSLA,2022-01-26,MUY_BAJISTA,MACRO (Weekly),THREE_BLACK_CROWS,BEARISH,307.57,312.24,1.52,301.89,-1.85,310.67,1.01
TSLA,2022-01-27,MUY_BAJISTA,MICRO (Daily),BEARISH_MARUBOZU,BEARISH,275.0,310.42,12.88,297.05,8.02,301.52,9.64
TSLA,2022-01-27,MUY_BAJISTA,MACRO (Weekly),BEARISH_MARUBOZU,BEARISH,275.0,310.42,12.88,297.05,8.02,301.52,9.64
TSLA,2022-01-27,MUY_BAJISTA,CONJUGATION,M[BEARISH_MARUBOZU] + m[BEARISH_MARUBOZU],BEARISH,275.0,310.42,12.88,297.05,8.02,301.52,9.64
TSLA,2022-01-31,MUY_BAJISTA,MICRO (Daily),MORNING_STAR,BULLISH,313.03,297.05,-5.1,302.45,-3.38,291.92,-6.74
TSLA,2022-02-02,MUY_BAJISTA,MACRO (Weekly),HANGING_MAN,BEARISH,292.12,302.45,3.54,310.67,6.35,307.8,5.37
TSLA,2022-02-03,MUY_BAJISTA,MICRO (Daily),INVERTED_HAMMER,BULLISH,300.92,307.33,2.13,301.52,0.2,292.12,-2.92
TSLA,2022-02-04,MUY_BAJISTA,MICRO (Daily),MORNING_STAR,BULLISH,309.43,310.67,0.4,286.67,-7.36,285.66,-7.68
TSLA,2022-02-10,MUY_BAJISTA,MICRO (Daily),EVENING_STAR,BEARISH,301.03,307.48,2.14,292.12,-2.96,269.96,-10.32
TSLA,2022-02-11,MUY_BAJISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,285.67,307.8,7.75,285.66,-0.0,290.14,1.57
TSLA,2022-02-14,MUY_BAJISTA,MICRO (Daily),TWEEZER_BOTTOM,BULLISH,300.99,292.12,-2.95,273.84,-9.02,288.12,-4.27
TSLA,2022-02-15,MUY_BAJISTA,MICRO (Daily),MORNING_STAR,BULLISH,305.52,285.66,-6.5,254.68,-16.64,293.3,-4.0
TSLA,2022-02-17,MUY_BAJISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,293.69,254.68,-13.28,269.96,-8.08,279.43,-4.86
TSLA,2022-02-18,MUY_BAJISTA,MACRO (Weekly),GRAVESTONE_DOJI,BEARISH,276.19,266.92,-3.35,290.14,5.05,268.19,-2.9
TSLA,2022-02-23,MUY_BAJISTA,MICRO (Daily),BEARISH_MARUBOZU,BEARISH,230.05,290.14,26.12,293.3,27.49,286.32,24.46
TSLA,2022-02-23,MUY_BAJISTA,MACRO (Weekly),BEARISH_MARUBOZU,BEARISH,230.05,290.14,26.12,293.3,27.49,286.32,24.46
TSLA,2022-02-23,MUY_BAJISTA,CONJUGATION,M[BEARISH_MARUBOZU] + m[BEARISH_MARUBOZU],BEARISH,230.05,290.14,26.12,293.3,27.49,286.32,24.46
TSLA,2022-02-24,MUY_BAJISTA,MICRO (Daily),PIERCING_LINE,BULLISH,270.98,288.12,6.33,279.76,3.24,279.43,3.12
TSLA,2022-02-24,MUY_BAJISTA,MACRO (Weekly),EVENING_STAR,BEARISH,268.51,288.12,7.31,279.76,4.19,279.43,4.07
TSLA,2022-02-25,MUY_BAJISTA,MICRO (Daily),DRAGONFLY_DOJI,BULLISH,273.74,293.3,7.14,279.43,2.08,265.12,-3.15
TSLA,2022-02-28,MUY_BAJISTA,MICRO (Daily),BULLISH_MARUBOZU,BULLISH,291.1,279.76,-3.89,268.19,-7.87,255.46,-12.24
TSLA,2022-02-28,MUY_BAJISTA,MACRO (Weekly),BULLISH_ENGULFING,BULLISH,291.1,279.76,-3.89,268.19,-7.87,255.46,-12.24
TSLA,2022-02-28,MUY_BAJISTA,CONJUGATION,M[BULLISH_ENGULFING] + m[BULLISH_MARUBOZU],BULLISH,291.1,279.76,-3.89,268.19,-7.87,255.46,-12.24
TSLA,2022-03-02,MUY_BAJISTA,MACRO (Weekly),PIERCING_LINE,BULLISH,294.72,268.19,-9.0,286.32,-2.85,280.08,-4.97
TSLA,2022-03-03,MUY_BAJISTA,MICRO (Daily),TWEEZER_TOP,BEARISH,282.02,274.8,-2.56,279.43,-0.92,290.53,3.02
TSLA,2022-03-04,MUY_BAJISTA,MACRO (Weekly),INVERTED_HAMMER,BULLISH,287.49,286.32,-0.4,265.12,-7.78,301.8,4.98
TSLA,2022-03-08,MUY_BAJISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,278.87,265.12,-4.93,267.3,-4.15,331.33,18.81
TSLA,2022-03-09,MUY_BAJISTA,MACRO (Weekly),HANGING_MAN,BEARISH,282.35,255.46,-9.52,280.08,-0.8,333.04,17.95
TSLA,2022-03-10,MUY_BAJISTA,MICRO (Daily),HANGING_MAN,BEARISH,278.4,267.3,-3.99,290.53,4.36,337.97,21.4
TSLA,2022-03-11,MUY_BAJISTA,MICRO (Daily),BEARISH_MARUBOZU,BEARISH,258.71,280.08,8.26,301.8,16.65,336.88,30.21
TSLA,2022-03-11,MUY_BAJISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,258.71,280.08,8.26,301.8,16.65,336.88,30.21
TSLA,2022-03-11,MUY_BAJISTA,CONJUGATION,M[BEARISH_ENGULFING] + m[BEARISH_MARUBOZU],BEARISH,258.71,280.08,8.26,301.8,16.65,336.88,30.21
TSLA,2022-03-14,MUY_BAJISTA,MACRO (Weekly),SHOOTING_STAR,BEARISH,256.79,290.53,13.14,307.05,19.57,363.95,41.73
TSLA,2022-03-15,MUY_BAJISTA,MICRO (Daily),TWEEZER_BOTTOM,BULLISH,270.99,301.8,11.37,331.33,22.26,366.52,35.25
