date,ticker,ret_10d,signal,confidence,regime
2007-05-22 13:30:00+00:00,AMZN,3.7725015072779913,-1,0.5,BULL
2007-05-22 13:30:00+00:00,HON,0.29209783072293577,-1,0.5,BULL
2007-05-22 13:30:00+00:00,MCD,-3.478526040088918,-1,0.5,BULL
2007-05-22 13:30:00+00:00,MRK,-6.759736386708432,-1,0.5,BULL
2007-05-23 13:30:00+00:00,AAPL,9.583178528494921,-1,0.5,BULL
2007-05-23 13:30:00+00:00,AMZN,3.9371846874863925,-1,0.5,BULL
2007-05-23 13:30:00+00:00,HON,-0.41495797382481003,-1,0.25,BULL
2007-05-23 13:30:00+00:00,MRK,-6.839882646987365,-1,0.5,BULL
2007-05-24 13:30:00+00:00,AAPL,10.92597392086322,-1,0.25,BULL
2007-05-24 13:30:00+00:00,AMZN,4.8758072599699265,-1,0.5,BULL
2007-05-24 13:30:00+00:00,MRK,-6.65897258617665,-1,0.5,BULL
2007-05-25 13:30:00+00:00,AAPL,4.816560470360032,-1,0.5,BULL
2007-05-25 13:30:00+00:00,AMZN,3.6919400897488206,-1,0.5,BULL
2007-05-25 13:30:00+00:00,HON,-0.09811835658184419,-1,0.25,BULL
2007-05-25 13:30:00+00:00,MRK,-5.324455668315293,-1,0.25,BULL
2007-05-29 13:30:00+00:00,AAPL,4.828651955316694,-1,0.5,BULL
2007-05-29 13:30:00+00:00,AMZN,1.283746182166143,-1,0.5,BULL
2007-05-29 13:30:00+00:00,HON,-1.2948045753926427,-1,0.25,BULL
2007-05-29 13:30:00+00:00,MRK,-5.768005350381478,-1,0.25,BULL
2007-05-30 13:30:00+00:00,AAPL,-2.3542283246369555,-1,0.5,BULL
2007-05-30 13:30:00+00:00,AMZN,-0.012697292898215239,-1,0.5,BULL
2007-05-30 13:30:00+00:00,HON,-0.4497514559457313,-1,0.5,BULL
2007-05-31 13:30:00+00:00,AAPL,-2.174821650056101,-1,0.5,BULL
2007-05-31 13:30:00+00:00,AMZN,4.268428270698708,-1,0.5,BULL
2007-05-31 13:30:00+00:00,HON,0.08938229102917687,-1,0.25,BULL
2007-06-01 13:30:00+00:00,AAPL,1.2494507652772637,-1,0.5,BULL
2007-06-01 13:30:00+00:00,AMZN,5.616338439095547,-1,0.5,BULL
2007-06-01 13:30:00+00:00,HON,0.5122074660050248,-1,0.5,BULL
2007-06-04 13:30:00+00:00,AAPL,2.8455519253210952,-1,0.5,BULL
2007-06-04 13:30:00+00:00,AMZN,0.5486966030498461,-1,0.5,BULL
2007-06-04 13:30:00+00:00,HON,-1.2115677880889546,-1,0.5,BULL
2007-06-05 13:30:00+00:00,AAPL,0.9386899754145467,-1,0.5,BULL
2007-06-05 13:30:00+00:00,AMZN,-4.798919936178054,-1,0.5,BULL
2007-06-05 13:30:00+00:00,HON,-0.551630308769095,-1,0.25,BULL
2007-06-06 13:30:00+00:00,AAPL,-3.0949036719946412,-1,0.5,BULL
2007-06-06 13:30:00+00:00,AMZN,-5.282806896727556,-1,0.5,BULL
2007-06-07 13:30:00+00:00,AAPL,-1.8061889864853902,-1,0.5,BULL
2007-06-07 13:30:00+00:00,AMZN,-4.1533133169169165,-1,0.5,BULL
2007-06-08 13:30:00+00:00,AAPL,-2.8903972587692555,-1,0.5,BULL
2007-06-08 13:30:00+00:00,AMZN,-5.935386927122463,-1,0.5,BULL
2007-06-11 13:30:00+00:00,AAPL,2.2140373073384194,-1,0.5,BULL
2007-06-11 13:30:00+00:00,AMZN,-2.712046929464106,-1,0.5,BULL
2007-06-12 13:30:00+00:00,AAPL,-1.7078847610222943,-1,0.5,BULL
2007-06-12 13:30:00+00:00,AMZN,-5.1767747737620065,-1,0.25,BULL
2007-06-13 13:30:00+00:00,AAPL,3.7335262164367298,-1,0.25,BULL
2007-06-13 13:30:00+00:00,AMZN,-4.07140443743665,-1,0.25,BULL
2007-06-14 13:30:00+00:00,AAPL,-0.11682200985215381,-1,0.25,BULL
2007-06-14 13:30:00+00:00,AMZN,-5.653400531375823,-1,0.25,BULL
2007-06-15 13:30:00+00:00,AAPL,-1.217386062063374,-1,0.25,BULL
2007-06-15 13:30:00+00:00,AMZN,-5.59450209759329,-1,0.25,BULL
2007-06-15 13:30:00+00:00,XOM,-2.64849933845548,-1,0.25,BULL
2007-06-18 13:30:00+00:00,AAPL,-2.9143342651730504,-1,0.5,BULL
2007-06-18 13:30:00+00:00,AMZN,-2.979874003456542,-1,0.25,BULL
2007-06-18 13:30:00+00:00,XOM,-1.6716376080229547,-1,0.25,BULL
2007-06-19 13:30:00+00:00,AAPL,2.4028469273955566,-1,0.5,BULL
2007-06-20 13:30:00+00:00,AAPL,8.76067346703758,-1,0.25,BULL
2007-06-21 13:30:00+00:00,AAPL,6.64451798748468,-1,0.5,BULL
2007-06-21 13:30:00+00:00,JPM,-1.4231938321557276,1,1.0,BULL
2007-06-22 13:30:00+00:00,AAPL,4.604647200191811,-1,0.25,BULL
2007-06-25 13:30:00+00:00,AAPL,6.298384506784019,-1,0.25,BULL
2007-06-26 13:30:00+00:00,JPM,-0.5208343021855845,1,1.0,BULL
2007-06-27 13:30:00+00:00,JPM,0.38140068230168034,1,0.7,BULL
2007-07-02 13:30:00+00:00,JPM,1.372754013224889,1,0.7,BULL
2007-07-02 13:30:00+00:00,COST,3.560354309425034,-1,0.5,BULL
2007-07-03 13:30:00+00:00,AAPL,6.880866422707507,-1,0.25,BULL
2007-07-03 13:30:00+00:00,JPM,-0.874520835992478,1,0.47,BULL
2007-07-03 13:30:00+00:00,COST,3.9138497251243987,-1,0.5,BULL
2007-07-05 13:30:00+00:00,AAPL,4.928650544853053,-1,0.5,BULL
2007-07-05 13:30:00+00:00,COST,2.911222919183711,-1,0.5,BULL
2007-07-06 13:30:00+00:00,AAPL,8.284621220767324,-1,0.5,BULL
2007-07-06 13:30:00+00:00,JPM,-3.500070305352474,1,0.5,BULL
2007-07-06 13:30:00+00:00,COST,-0.7228993775933691,-1,0.5,BULL
2007-07-06 13:30:00+00:00,QQQ,2.2973679224477594,-1,0.25,BULL
2007-07-09 13:30:00+00:00,AAPL,11.008963884209093,-1,0.5,BULL
2007-07-09 13:30:00+00:00,COST,-0.34039732931857447,-1,0.5,BULL
2007-07-09 13:30:00+00:00,QQQ,2.8828775145375753,-1,0.25,BULL
2007-07-10 13:30:00+00:00,AAPL,1.9506480909522936,-1,0.5,BULL
2007-07-10 13:30:00+00:00,COST,-0.43372005721576834,-1,0.5,BULL
2007-07-11 13:30:00+00:00,AAPL,2.406076039781488,-1,0.5,BULL
2007-07-11 13:30:00+00:00,JPM,-7.3095823095822965,1,1.0,BULL
2007-07-11 13:30:00+00:00,COST,-0.9738409837938534,-1,0.5,BULL
2007-07-12 13:30:00+00:00,AAPL,7.858142703029672,-1,0.5,BULL
2007-07-12 13:30:00+00:00,XOM,-1.7931679300096883,-1,0.5,BULL
2007-07-12 13:30:00+00:00,COST,-4.651954444399273,-1,0.5,BULL
2007-07-12 13:30:00+00:00,QQQ,-1.3693311781451571,-1,0.5,BULL
2007-07-13 13:30:00+00:00,AAPL,3.7594336351189037,-1,0.5,BULL
2007-07-13 13:30:00+00:00,XOM,-4.346271192123287,-1,0.5,BULL
2007-07-13 13:30:00+00:00,COST,-6.610753671817539,-1,0.5,BULL
2007-07-13 13:30:00+00:00,QQQ,-3.8892520828981274,-1,0.5,BULL
2007-07-16 13:30:00+00:00,AAPL,2.108136541558301,-1,0.5,BULL
2007-07-16 13:30:00+00:00,XOM,-4.777205593388256,-1,0.25,BULL
2007-07-16 13:30:00+00:00,COST,-3.864476711945306,-1,0.5,BULL
2007-07-16 13:30:00+00:00,QQQ,-2.915533514637655,-1,0.5,BULL
