layer,pattern,regime,n,delta_wr,delta_avg,pat_wr,base_wr
MICRO,BEARISH_ENGULFING,MUY_BAJISTA,101,5.839604461585111,1.2630244395294856,64.35643564356435,58.51683118197924
MICRO,BEARISH_ENGULFING,HORIZONTAL,256,4.534205349408026,0.46696631839982555,57.421875,52.887669650591974
MICRO,BEARISH_ENGULFING,MUY_ALCISTA,324,5.115371782038444,0.15292074180320675,56.79012345679012,51.674751674751676
MICRO,BEARISH_MARUBOZU,MUY_BAJISTA,89,11.14609016633537,2.120112985731647,69.66292134831461,58.51683118197924
MICRO,BEARISH_MARUBOZU,MUY_ALCISTA,104,-6.482443982443982,-0.9171844597220935,45.19230769230769,51.674751674751676
MICRO,BULLISH_ENGULFING,MUY_BAJISTA,150,-5.1834978486459065,-0.9035969424892931,53.333333333333336,58.51683118197924
MICRO,BULLISH_ENGULFING,BAJISTA,248,-3.2019115890083683,-0.595417239379192,51.61290322580645,54.81481481481482
MICRO,BULLISH_ENGULFING,HORIZONTAL,211,5.880102861256361,0.29994169380489866,58.767772511848335,52.887669650591974
MICRO,BULLISH_ENGULFING,ALCISTA,273,-7.893782973584841,-0.6667714564706784,43.223443223443226,51.11722619702807
MICRO,BULLISH_MARUBOZU,MUY_BAJISTA,105,-13.754926420074476,-2.146605358246127,44.761904761904766,58.51683118197924
MICRO,BULLISH_MARUBOZU,MUY_ALCISTA,190,-4.832646411593778,-0.7550458101122941,46.8421052631579,51.674751674751676
MICRO,DARK_CLOUD_COVER,MUY_BAJISTA,28,5.76888310373505,1.3531592429295662,64.28571428571429,58.51683118197924
MICRO,DARK_CLOUD_COVER,BAJISTA,39,14.41595441595441,1.031827220332496,69.23076923076923,54.81481481481482
MICRO,DARK_CLOUD_COVER,HORIZONTAL,62,-6.113476102204878,0.19883551193640064,46.774193548387096,52.887669650591974
MICRO,DARK_CLOUD_COVER,ALCISTA,57,13.795054504726316,1.2836800812283558,64.91228070175438,51.11722619702807
MICRO,DARK_CLOUD_COVER,MUY_ALCISTA,82,3.2032971057361337,0.7142549265142597,54.87804878048781,51.674751674751676
MICRO,DOJI,MUY_BAJISTA,69,5.251284760049735,0.4520014491932838,63.76811594202898,58.51683118197924
MICRO,DOJI,BAJISTA,159,-3.2424877707896584,-0.2614717849070011,51.57232704402516,54.81481481481482
MICRO,DOJI,HORIZONTAL,136,3.729977408231555,0.29293313522286035,56.61764705882353,52.887669650591974
MICRO,DRAGONFLY_DOJI,MUY_BAJISTA,84,3.387930722782663,0.1530251095266444,61.904761904761905,58.51683118197924
